차종,공급처,사출품명,컬러,단가,품목구분,제작품목2,제작품목2,중량(g),원재료명,원재료 컬러
RIVN,,CHROME BEZEL - A/REST (대),CROM,,,CHROME BEZEL - A/REST (대)[BB],,,,
RIVN,,CHROME BEZEL - A/REST (중),CROM,,,CHROME BEZEL - A/REST (중)[BB],,,,
RIVN,,INR LH,CROM,,,INR LH [GB],INR LH [BB],,,
RIVN,,INR RH,CROM,,,INR RH [GB],INR RH [BB],,,
RIVN,,L/SUPT BEZEL,CROM,,,L/SUPT BEZEL[BB],,,,
RIVN,,OTR LH,CROM,,,OTR LH [GB],OTR LH [BB],,,
RIVN,,OTR RH,CROM,,,OTR RH [GB],OTR RH [BB],,,
RIVN,,RAIL COVER BEZEL - LH,CROM,,,RAIL COVER BEZEL - LH [BB],,,,
RIVN,,RAIL COVER BEZEL - RH,CROM,,,RAIL COVER BEZEL - RH [BB],,,,
RIVN,,RECL KNOB LH,CROM,,,RECL KNOB  LH[BB],,,,
RIVN,,RECL KNOB RH,CROM,,,RECL KNOB  RH[BB],,,,
RIVN,,SIDE BEZEL - H/REST,CROM,,,SIDE BEZEL - H/REST[BB],,,,
RIVN,,SLIDE KNOB LH,CROM,,,SLIDE KNOB  LH [BB],,,,
RIVN,,SLIDE KNOB RH,CROM,,,SLIDE KNOB RH [BB],,,,
RIVN,,"TBU ASSY-2ND BACK, LH",CROM,,,"TBU 2ND BACK, LH[BB]","TBU 2ND BACK, LH[GB]",,,
RIVN,,"TBU ASSY-2ND BACK, RH",CROM,,,"TBU 2ND BACK, RH[BB]","TBU 2ND BACK, RH[GB]",,,
RIVN,,"TBU ASSY-2ND,LH",CROM,,,"TBU 2ND,LH[BB]","TBU 2ND,LH[GB]",,,
RIVN,,"TBU ASSY-2ND,RH",CROM,,,"TBU 2ND,RH[BB]","TBU 2ND,RH[GB]",,,
RIVN,,TBU FR ASSY-FR BACK[CAMP],CROM,,,TBU FR BACK[CAMP] [BB],TBU FR BACK[CAMP] [GB],,,
RIVN,,TBU RR-FR BACK,CROM,,,TBU RR-FR BACK [BB],TBU RR-FR BACK [GB],,,
T1XX,,COVER SIDE,BLACK,,,T1XX COVER SIDE,,,,
T1XX,,DECO #1 (도금),CROM,,,T1XX DECO TRIM #1 블랙아이스,,,,
T1XX,,DECO #2 (도금),CROM,,,T1XX DECO TRIM #2 블랙아이스,,,,
T1XX,,DECO #3 (도금),CROM,,,T1XX DECO TRIM #3 블랙아이스,,,,
T1XX,,IL,BLACK,,,IL,,,,
T1XX,,KNOB LOWER,BLACK,,,T1XX KNOB LOWER,,,,
T1XX,경원,LENS,CLEAR+BLACK,,,LENS,,,,
T1XX,사내,LIGHT LENS,CLEAR,,,GUIDE LAMP,,,,
T1XX,,LINER (도금),CROM,,,T1XX LINER 블랙아이스,,,,
T1XX,월성,P-button,WHITE,,,PARK,,,,
T1XX,사내,PARK GUIDE,BLACK,,,GUIDE LAMP,,,,
T1XX,,TRIM-BEZEL,BLACK,,,T1XX TRIM-BEZEL,,,,
T1XX,,UMBRELLA,BLACK,,,T1XX UMBRELLA,,,,
VN417,흥일,LENS(HARD COATING),Red + Clear,,,LENS(HARD COATING),,,,
VN46T,사내,COVER,WHITE,,,LENS [COVER] L-27A,,,,
XFD,알리,1SPOT,WHITE,,,KNOB [LED] BLACK,KNOB [LED] BK 1spot,,,
XFD,알리,3SPOT,WHITE,,,KNOB [LED] BK SEESAW,KNOB [LED] GY SEESAW,,,
